orderID,run,list,file_num,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,OLD_file_num,numID,cond,reason_for_change
1,run1,1,list1_89_adjustment_low3,4,40,1,2,41,42,43,44,3350,11350,adjustment,3.4932,3,43.33,10,list1_89_adjustment_low3,89,low3,
2,run1,1,list1_10146_livelihood_low3,4,40,1,2,41,42,43,44,3500,11500,livelihood,3.1783,3,21.56,10,list1_10146_livelihood_low3,10146,low3,
3,run1,1,list1_1898_boost_high1,1,10,1,2,11,12,13,14,3400,11400,boost,3.6554,1,40,5,list1_1898_boost_high1,1898,high1,
4,run1,1,list1_16540_speed_high1,1,10,1,2,11,12,13,14,3500,11500,speed,4.6151,1,73.25,5,list1_16540_speed_high1,16540,high1,
5,run1,1,list1_8213_helium_low3,4,40,1,2,41,42,43,44,3300,11300,helium,3.1611,3,34.4,6,list1_8213_helium_low3,8213,low3,
6,run1,1,list1_6095_expansion_low3,4,40,1,2,41,42,43,44,3350,11350,expansion,3.2412,3,78.5,9,list1_6095_expansion_low3,6095,low3,
7,run1,1,list1_13319_poetry_high3,2,20,1,2,21,22,23,24,3250,11250,poetry,4.1263,3,28.4,6,list1_13319_poetry_high3,13319,high3,
8,run1,1,list1_7176_gap_low1,3,30,1,2,31,32,33,34,3250,11250,gap,3.6323,1,9,3,list1_7176_gap_low1,7176,low1,
9,run1,1,list1_4131_creator_low3,4,40,1,2,41,42,43,44,3400,11400,creator,3.4472,3,59.5,7,list1_4131_creator_low3,4131,low3,
10,run1,1,list1_8540_host_high1,1,10,1,2,11,12,13,14,3300,11300,host,4.1766,1,28.33,4,list1_8540_host_high1,8540,high1,
11,run1,1,list1_19418_wool_low1,3,30,1,2,31,32,33,34,3450,11450,wool,3.5013,1,25.33,4,list1_19418_wool_low1,19418,low1,
12,run1,1,list1_2051_precision_low3,4,40,1,2,41,42,43,44,3400,11400,precision,3.470811089,3,92.5,9,list1_2051_bravery_low3,2051,low3,2 syllable word
13,run1,1,list1_18715_vegetable_high3,2,20,1,2,21,22,23,24,3500,11500,vegetable,3.7572,3,45.13,9,list1_18715_vegetable_high3,18715,high3,
14,run1,1,list1_904_audition_high3,2,20,1,2,21,22,23,24,3450,11450,audition,4.1406,3,85.71,8,list1_904_audition_high3,904,high3,
15,run1,1,list1_9263_jet_high1,1,10,1,2,11,12,13,14,3400,11400,jet,4.1504,1,6.5,3,list1_9263_jet_high1,9263,high1,
16,run1,1,list1_14360_reasoning_low3,4,40,1,2,41,42,43,44,3500,11500,reasoning,3.265,3,234.13,9,list1_14360_reasoning_low3,14360,low3,
17,run1,1,list1_7557_gown_high1,1,10,1,2,11,12,13,14,3250,11250,gown,3.8169,1,14.33,4,list1_7557_gown_high1,7557,high1,
18,run1,1,list1_12191_ore_low1,3,30,1,2,31,32,33,34,3400,11400,ore,3.2213,1,3,3,list1_12191_ore_low1,12191,low1,
19,run1,1,list1_15203_salvation_high3,2,20,1,2,21,22,23,24,3200,11200,salvation,3.7018,3,106.88,9,list1_15203_salvation_high3,15203,high3,
20,run1,1,list1_10176_lobe_low1,3,30,1,2,31,32,33,34,3500,11500,lobe,3.2741,1,16.67,4,list1_10176_lobe_low1,10176,low1,
21,run1,1,list1_9240_jealousy_high3,2,20,1,2,21,22,23,24,3350,11350,jealousy,3.7602,3,32.57,8,list1_9240_jealousy_high3,9240,high3,
22,run1,1,list1_3394_cloud_high1,1,10,1,2,11,12,13,14,3250,11250,cloud,4.07,1,30.5,5,list1_3394_cloud_high1,3394,high1,
23,run1,1,list1_8785_immigrant_low3,4,40,1,2,41,42,43,44,3300,11300,immigrant,3.1949,3,51.75,9,list1_8785_immigrant_low3,8785,low3,
24,run1,1,list1_5386_drone_low1,3,30,1,2,31,32,33,34,3350,11350,drone,3.4532,1,41,5,list1_5386_drone_low1,5386,low1,
25,run1,1,list1_16962_strand_low1,3,30,1,2,31,32,33,34,3400,11400,strand,3.2696,1,51.8,6,list1_16962_strand_low1,16962,low1,
26,run1,1,list1_4076_crab_high1,1,10,1,2,11,12,13,14,3450,11450,crab,3.8396,1,14.67,4,list1_4076_crab_high1,4076,high1,
27,run1,1,list1_6126_exposure_high3,2,20,1,2,21,22,23,24,3250,11250,exposure,3.7572,3,29.71,8,list1_6126_exposure_high3,6126,high3,
